総合NO,弾NO,販売日,呼称,略称,コレクションナンバー,大分類,小分類,カード名,レアリティ,A,B
4445,61,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,015/067,ポケモン,炎,ヒードランVMAX,RRR,,
4446,62,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,022/067,ポケモン,水,オリジンパルキアV,RR,,
4447,63,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,023/067,ポケモン,水,オリジンパルキアVSTAR,RRR,,
4448,64,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,040/067,ポケモン,闘,バサギリV,RR,,
4449,65,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,041/067,ポケモン,闘,バサギリVSTAR,RRR,,
4450,66,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,044/067,ポケモン,悪,ヒスイオオニューラV,RR,,
4451,67,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,058/067,ポケモン,無,ヤレユータンV,RR,,
4452,68,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,068/067,ポケモン,草,スピアーV,SR,,
4453,69,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,069/067,ポケモン,草,スピアーV,SR,,
4454,70,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,070/067,ポケモン,水,オリジンパルキアV,SR,,
4455,71,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,071/067,ポケモン,水,オリジンパルキアV,SR,,
4456,72,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,072/067,ポケモン,炎,ヒードランV,SR,,
4457,73,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,073/067,ポケモン,闘,バサギリV,SR,,
4458,74,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,074/067,ポケモン,悪,ヒスイオオニューラV,SR,,
4459,75,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,075/067,ポケモン,悪,ヒスイオオニューラV,SR,,
4460,76,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,076/067,ポケモン,無,ヤレユータンV,SR,,
4461,77,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,077/067,トレーナーズ,サポート,カイ,SR,,
4462,78,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,078/067,トレーナーズ,サポート,ザクロ,SR,,
4463,79,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,079/067,トレーナーズ,サポート,タイサイ,SR,,
4464,80,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,080/067,ポケモン,炎,ヒードランVMAX,HR,,
4465,81,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,081/067,ポケモン,水,オリジンパルキアVSTAR,HR,,
4466,82,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,082/067,ポケモン,闘,バサギリVSTAR,HR,,
4467,83,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,083/067,トレーナーズ,サポート,カイ,HR,,
4468,84,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,084/067,トレーナーズ,サポート,ザクロ,HR,,
4469,85,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,085/067,トレーナーズ,サポート,タイサイ,HR,,
4470,86,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,086/067,ポケモン,水,オリジンパルキアVSTAR,UR,,
4471,87,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,087/067,トレーナーズ,スタジアム,シンオウ神殿,UR,,
4472,88,2022年04月08日,ソード&シールド 拡張パック スペースジャグラー,S10P,088/067,エネルギー,特殊,ダブルターボエネルギー,UR,,
4473,1,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,001/071,ポケモン,草,パラス,C,,
4474,2,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,002/071,ポケモン,草,パラセクト,U,,
4475,3,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,004/071,ポケモン,草,ケムッソ,C,,
4476,4,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,005/071,ポケモン,草,カラサリス,C,,
4477,5,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,006/071,ポケモン,草,アゲハント,R,,
4478,6,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,007/071,ポケモン,草,マユルド,C,,
4479,7,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,008/071,ポケモン,草,ドクケイル,U,,
4480,8,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,009/071,ポケモン,水,ユキカブリ,C,,
4481,9,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,010/071,ポケモン,水,ユキノオー,C,,
4482,10,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,011/071,ポケモン,水,フィオネ,U,,
4483,11,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,012/071,ポケモン,水,ヒスイバスラオ,C,,
4484,12,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,013/071,ポケモン,水,ヒスイイダイトウ,R,,
4485,13,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,014/071,ポケモン,雷,ピカチュウ,C,,
4486,14,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,015/071,ポケモン,雷,ライチュウ,U,,
4487,15,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,018/071,ポケモン,雷,ロトム,C,,
4488,16,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,019/071,ポケモン,超,ピッピ,C,,
4489,17,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,020/071,ポケモン,超,ピクシー,U,,
4490,18,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,021/071,ポケモン,超,ゴース,C,,
4491,19,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,022/071,ポケモン,超,ゴースト,C,,
4492,20,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,023/071,ポケモン,超,ゲンガー,R,,
4493,21,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,024/071,ポケモン,超,バリヤード,U,,
4494,22,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,025/071,ポケモン,超,ムウマ,C,,
4495,23,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,026/071,ポケモン,超,ムウマージ,U,,
4496,24,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,028/071,ポケモン,超,チリーン,C,,
4497,25,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,029/071,ポケモン,超,ヒスイゾロア,C,,
4498,26,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,030/071,ポケモン,超,ヒスイゾロアーク,R,,
4499,27,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,032/071,ポケモン,闘,ヒスイガーディ,C,,
4500,28,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,033/071,ポケモン,闘,ヒスイウインディ,R,,
4501,29,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,034/071,ポケモン,闘,ワンリキー,C,,
4502,30,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,035/071,ポケモン,闘,ゴーリキー,U,,
4503,31,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,036/071,ポケモン,闘,カイリキー,R,,
4504,32,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,037/071,ポケモン,闘,ウソッキー,C,,
4505,33,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,038/071,ポケモン,闘,グライガー,C,,
4506,34,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,039/071,ポケモン,闘,グライオン,U,,
4507,35,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,041/071,ポケモン,悪,ズバット,C,,
4508,36,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,042/071,ポケモン,悪,ゴルバット,C,,
4509,37,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,043/071,ポケモン,悪,クロバット,R,,
4510,38,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,044/071,ポケモン,悪,ヤミカラス,C,,
4511,39,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,045/071,ポケモン,悪,ドンカラス,U,,
4512,40,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,047/071,ポケモン,悪,ミカルゲ,U,,
4513,41,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,048/071,ポケモン,悪,グレッグル,C,,
4514,42,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,049/071,ポケモン,悪,ドクロッグ,U,,
4515,43,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,051/071,ポケモン,悪,ドーミラー,C,,
4516,44,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,052/071,ポケモン,悪,ドータクン,U,,
4517,45,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,053/071,ポケモン,竜,ヌメラ,C,,
4518,46,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,054/071,ポケモン,竜,ヒスイヌメイル,U,,
4519,47,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,055/071,ポケモン,竜,ヒスイヌメルゴン,R,,
4520,48,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,058/071,ポケモン,無,カビゴン,R,,
4521,49,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,059/071,ポケモン,無,エイパム,C,,
4522,50,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,060/071,ポケモン,竜,エテボース,U,,
4523,51,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,063/071,トレーナーズ,グッズ,アルセウスフォン,U,,
4524,52,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,064/071,トレーナーズ,グッズ,ダメージポンプ,U,,
4525,53,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,065/071,トレーナーズ,ポケモンのどうぐ,からくりアーム,U,,
4526,54,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,066/071,トレーナーズ,ポケモンのどうぐ,災いの箱,U,,
4527,55,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,067/071,トレーナーズ,サポート,ウォロ,R,,
4528,56,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,068/071,トレーナーズ,サポート,ススキ,U,,
4529,57,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,069/071,トレーナーズ,サポート,ヒナツ,U,,
4530,58,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,070/071,トレーナーズ,サポート,野盗三姉妹,U,,
4531,59,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,071/071,トレーナーズ,スタジアム,エイチ湖,U,,
4532,60,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,001/071,ポケモン,草,パラス,ミラー仕様,,
4533,61,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,002/071,ポケモン,草,パラセクト,ミラー仕様,,
4534,62,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,004/071,ポケモン,草,ケムッソ,ミラー仕様,,
4535,63,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,005/071,ポケモン,草,カラサリス,ミラー仕様,,
4536,64,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,007/071,ポケモン,草,マユルド,ミラー仕様,,
4537,65,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,008/071,ポケモン,草,ドクケイル,ミラー仕様,,
4538,66,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,009/071,ポケモン,水,ユキカブリ,ミラー仕様,,
4539,67,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,010/071,ポケモン,水,ユキノオー,ミラー仕様,,
4540,68,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,011/071,ポケモン,水,フィオネ,ミラー仕様,,
4541,69,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,012/071,ポケモン,水,ヒスイバスラオ,ミラー仕様,,
4542,70,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,014/071,ポケモン,雷,ピカチュウ,ミラー仕様,,
4543,71,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,015/071,ポケモン,雷,ライチュウ,ミラー仕様,,
4544,72,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,018/071,ポケモン,雷,ロトム,ミラー仕様,,
4545,73,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,019/071,ポケモン,超,ピッピ,ミラー仕様,,
4546,74,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,020/071,ポケモン,超,ピクシー,ミラー仕様,,
4547,75,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,021/071,ポケモン,超,ゴース,ミラー仕様,,
4548,76,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,022/071,ポケモン,超,ゴースト,ミラー仕様,,
4549,77,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,024/071,ポケモン,超,バリヤード,ミラー仕様,,
4550,78,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,025/071,ポケモン,超,ムウマ,ミラー仕様,,
4551,79,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,026/071,ポケモン,超,ムウマージ,ミラー仕様,,
4552,80,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,028/071,ポケモン,超,チリーン,ミラー仕様,,
4553,81,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,029/071,ポケモン,超,ヒスイゾロア,ミラー仕様,,
4554,82,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,032/071,ポケモン,闘,ヒスイガーディ,ミラー仕様,,
4555,83,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,034/071,ポケモン,闘,ワンリキー,ミラー仕様,,
4556,84,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,035/071,ポケモン,闘,ゴーリキー,ミラー仕様,,
4557,85,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,037/071,ポケモン,闘,ウソッキー,ミラー仕様,,
4558,86,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,038/071,ポケモン,闘,グライガー,ミラー仕様,,
4559,87,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,039/071,ポケモン,闘,グライオン,ミラー仕様,,
4560,88,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,041/071,ポケモン,悪,ズバット,ミラー仕様,,
4561,89,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,042/071,ポケモン,悪,ゴルバット,ミラー仕様,,
4562,90,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,044/071,ポケモン,悪,ヤミカラス,ミラー仕様,,
4563,91,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,045/071,ポケモン,悪,ドンカラス,ミラー仕様,,
4564,92,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,047/071,ポケモン,悪,ミカルゲ,ミラー仕様,,
4565,93,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,048/071,ポケモン,悪,グレッグル,ミラー仕様,,
4566,94,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,049/071,ポケモン,悪,ドクロッグ,ミラー仕様,,
4567,95,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,051/071,ポケモン,悪,ドーミラー,ミラー仕様,,
4568,96,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,052/071,ポケモン,悪,ドータクン,ミラー仕様,,
4569,97,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,053/071,ポケモン,竜,ヌメラ,ミラー仕様,,
4570,98,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,054/071,ポケモン,竜,ヒスイヌメイル,ミラー仕様,,
4571,99,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,059/071,ポケモン,無,エイパム,ミラー仕様,,
4572,100,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,060/071,ポケモン,竜,エテボース,ミラー仕様,,
4573,101,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,063/071,トレーナーズ,グッズ,アルセウスフォン,ミラー仕様,,
4574,102,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,064/071,トレーナーズ,グッズ,ダメージポンプ,ミラー仕様,,
4575,103,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,065/071,トレーナーズ,ポケモンのどうぐ,からくりアーム,ミラー仕様,,
4576,104,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,066/071,トレーナーズ,ポケモンのどうぐ,災いの箱,ミラー仕様,,
4577,105,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,068/071,トレーナーズ,サポート,ススキ,ミラー仕様,,
4578,106,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,069/071,トレーナーズ,サポート,ヒナツ,ミラー仕様,,
4579,107,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,070/071,トレーナーズ,サポート,野盗三姉妹,ミラー仕様,,
4580,108,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,071/071,トレーナーズ,スタジアム,エイチ湖,ミラー仕様,,
4581,109,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,003/071,ポケモン,草,ヒスイマルマインV,RR,,
4582,110,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,016/071,ポケモン,雷,ジバコイルV,RR,,
4583,111,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,017/071,ポケモン,雷,ジバコイルVSTAR,RRR,,
4584,112,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,031/071,ポケモン,超,ラブトロスV,RR,,
4585,113,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,040/071,ポケモン,闘,エルレイドV,RR,,
4586,114,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,056/071,ポケモン,竜,ヒスイヌメルゴンV,RR,,
4587,115,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,057/071,ポケモン,竜,ヒスイヌメルゴンVSTAR,RRR,,
4588,116,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,061/071,ポケモン,無,ヒスイゾロアークV,RR,,
4589,117,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,062/071,ポケモン,無,ヒスイゾロアークVSTAR,RRR,,
4590,118,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,027/071,ポケモン,超,かがやくサーナイト,K,,
4591,119,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,046/071,ポケモン,悪,かがやくヒスイオオニューラ,K,,
4592,120,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,050/071,ポケモン,鋼,かがやくハガネール,K,,
4593,121,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,072/071,ポケモン,草,パラセクト,CHR,,
4594,122,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,073/071,ポケモン,雷,ピカチュウ,CHR,,
4595,123,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,074/071,ポケモン,超,ゲンガー,CHR,,
4596,124,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,075/071,ポケモン,闘,ヒスイウインディ,CHR,,
4597,125,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,076/071,ポケモン,悪,ミカルゲ,CHR,,
4598,126,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,077/071,ポケモン,無,カビゴン,CHR,,
4599,127,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,078/071,ポケモン,草,ヒスイマルマインV,SR,,
4600,128,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,079/071,ポケモン,雷,ジバコイルV,SR,,
4601,129,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,080/071,ポケモン,超,ラブトロスV,SR,,
4602,130,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,081/071,ポケモン,闘,エルレイドV,SR,,
4603,131,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,082/071,ポケモン,竜,ヒスイヌメルゴンV,SR,,
4604,132,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,083/071,ポケモン,無,ヒスイゾロアークV,SR,,
4605,133,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,084/071,トレーナーズ,サポート,ウォロ,SR,,
4606,134,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,085/071,トレーナーズ,サポート,ススキ,SR,,
4607,135,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,086/071,トレーナーズ,サポート,ヒナツ,SR,,
4608,136,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,087/071,トレーナーズ,サポート,野盗三姉妹,SR,,
4609,137,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,088/071,ポケモン,超,ラブトロスV,CSR,,
4610,138,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,089/071,ポケモン,闘,エルレイドV,CSR,,
4611,139,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,090/071,ポケモン,雷,ジバコイルVSTAR,HR,,
4612,140,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,091/071,ポケモン,竜,ヒスイヌメルゴンVSTAR,HR,,
4613,141,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,092/071,ポケモン,無,ヒスイゾロアークVSTAR,HR,,
4614,142,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,093/071,トレーナーズ,サポート,ウォロ,HR,,
4615,143,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,094/071,トレーナーズ,サポート,ススキ,HR,,
4616,144,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,095/071,トレーナーズ,サポート,ヒナツ,HR,,
4617,145,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,096/071,トレーナーズ,サポート,野盗三姉妹,HR,,
4618,146,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,097/071,ポケモン,無,ヒスイゾロアークVSTAR,UR,,
4619,147,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,098/071,トレーナーズ,グッズ,ダークパッチ,UR,,
4620,148,2022年05月13日,ソード&シールド 強化拡張パック ダークファンタズマ,S10a,099/071,トレーナーズ,ポケモンのどうぐ,災いの箱,UR,,
4621,1,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,001/071,ポケモン,草,フシギダネ,C,,
4622,2,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,002/071,ポケモン,草,フシギソウ,U,,
4623,3,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,003/071,ポケモン,草,フシギバナ,R,,
4624,4,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,006/071,ポケモン,草,イトマル[1],C,,
4625,5,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,007/071,ポケモン,草,アリアドス,C,,
4626,6,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,008/071,ポケモン,炎,ヒトカゲ,C,,
4627,7,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,009/071,ポケモン,炎,リザード,U,,
4628,8,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,010/071,ポケモン,炎,リザードン,R,,
4629,9,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,012/071,ポケモン,炎,ファイヤー,R,,
4630,10,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,013/071,ポケモン,炎,ドンメル[1],C,,
4631,11,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,014/071,ポケモン,炎,バクーダ,C,,
4632,12,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,015/071,ポケモン,水,ゼニガメ,C,,
4633,13,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,016/071,ポケモン,水,カメール,U,,
4634,14,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,017/071,ポケモン,水,カメックス,C,,
4635,15,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,019/071,ポケモン,水,ヤドン,C,,
4636,16,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,020/071,ポケモン,水,ヤドラン,U,,
4637,17,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,021/071,ポケモン,水,コイキング,C,,
4638,18,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,022/071,ポケモン,水,ギャラドス,R,,
4639,19,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,023/071,ポケモン,水,ラプラス,R,,
4640,20,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,024/071,ポケモン,水,フリーザー,R,,
4641,21,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,025/071,ポケモン,水,コソクムシ,C,,
4642,22,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,026/071,ポケモン,水,グソクムシャ,R,,
4643,23,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,027/071,ポケモン,雷,ピカチュウ,C,,
4644,24,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,028/071,ポケモン,雷,ピカチュウ,R,,
4645,25,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,029/071,ポケモン,雷,サンダー,R,,
4646,26,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,032/071,ポケモン,超,ネイティ,C,,
4647,27,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,033/071,ポケモン,超,ネイティオ,U,,
4648,28,2022年06月17日,ソード&シールド 強化拡張パック Pokémon GO,S10b,034/071,ポケモン,超,ルナトーン,U,,
